name_of_city,population_total,effective_literacy_rate_total,total_graduates,sample_mean
Abohar ,0.011639108616641157,0.8082995951417005,0.0073327309391541355,0.011316147182761683
Achalpur ,0.008998956360515054,0.9310728744939271,0.003990298662351759,0.00849021558172209
Adilabad ,0.00940726037462835,0.8148785425101215,0.004756572872362218,0.0089653618306132
Adityapur ,0.013943081218359944,0.8447368421052631,0.008655476902145163,0.013535305752975537
Adoni ,0.013345971658171887,0.6921052631578947,0.005358516831694758,0.012499721761394857
Agartala ,0.03203026786907057,0.9502024291497976,0.023731539297215797,0.03168516113458296
Agra ,0.12618092620019142,0.6421052631578947,0.08365670375127694,0.12327076159892542
Ahmadabad ,0.44641652923637054,0.907085020242915,0.3466053647298658,0.4439866495662418
Ahmadnagar ,0.028120887158474127,0.9260121457489878,0.023258808439101233,0.028195509844700158
Aizawl ,0.02338608322013148,1.0,0.012080299414218934,0.02232020497228486
Ajmer ,0.04348137232141147,0.8859311740890689,0.03511219704142518,0.04346057812507707
Akbarpur ,0.008942939774476744,0.7787449392712551,0.00438739258316799,0.008501976038179556
Akola ,0.034230701945522544,0.9244939271255062,0.02238268058206225,0.03339789953472063
Alandur ,0.013155643486725552,0.9630566801619435,0.02069705740798519,0.014720922918776705
Alappuzha ,0.013957185537591336,0.9773279352226721,0.01002324485162329,0.013761278774909968
Aligarh ,0.06992657018938334,0.7121457489878543,0.04472529159615098,0.068061942625963
Allahabad ,0.08952187720154599,0.875506072874494,0.10495930687751363,0.09455347471778595
Alwar ,0.025268368732102642,0.8783400809716599,0.026456720139280018,0.02620006883763839
Ambala ,0.015724392626742734,0.8930161943319839,0.015732032738187695,0.016192753672667662
Ambala Sadar ,0.00835584748647007,0.8903846153846154,0.00928263317391048,0.00875112195594887
Ambarnath ,0.02035533748710877,0.9012145748987855,0.011974047526109376,0.01965477506729005
Ambattur ,0.038316787337398635,0.9381578947368421,0.043755067787353955,0.04029244349995923
Ambikapur ,0.009181831681458438,0.8927125506072875,0.00939023572161465,0.009489606497213636
Ambur ,0.009124212331871105,0.8788461538461538,0.003517567804237199,0.008525776345088325
Amravati ,0.05183345331354134,0.9415991902834009,0.04141842668867341,0.05173970839339359
Amreli ,0.008493044046266334,0.9055668016194333,0.005089735572366766,0.008218977931843422
Amritsar ,0.09077740202767219,0.8630566801619433,0.06319241001343005,0.08915436224620861
Amroha ,0.015798039611820285,0.6465587044534413,0.006248601504544745,0.014780424036166417
Anand ,0.01581534945814972,0.9484817813765182,0.013417902632750703,0.015912693054562492
Anantapur ,0.021023449472518496,0.828744939271255,0.019674608094863127,0.021435743021241505
Anantnag ,0.008695392944330332,0.799089068825911,0.00570248480845621,0.008490352827894503
Arrah ,0.020923997994301696,0.8442307692307692,0.015917073102649677,0.020764534312939377
Asansol ,0.045237279927542264,0.8585020242914979,0.029545678632160014,0.044128903263287396
Ashoknagar Kalyangarh ,0.009929601015254542,0.9357287449392713,0.005399036619533149,0.009522535075058966
Aurangabad ,0.00813562777483448,0.8794534412955466,0.005916339244269939,0.008035055456570723
Aurangabad ,0.09386825139378321,0.9021255060728745,0.07172362623287082,0.09318224750897987
Avadi ,0.027623709905567576,0.8970647773279352,0.02325250536099304,0.027759903097704094
Azamgarh ,0.008893734933521776,0.8747975708502025,0.008964327729446676,0.009171505581576356
Badlapur ,0.014065532353505208,0.9350202429149798,0.01130727190623541,0.014055365111552975
Bagaha ,0.009056575710102387,0.6140688259109313,0.0016856231740770605,0.008179918791551822
Bagalkot ,0.00898092527058856,0.8719635627530365,0.006343597896032527,0.008840064478027723
Bahadurgarh ,0.013657629030279169,0.891093117408907,0.01013940157676001,0.013517000194612272
Baharampur ,0.015656034761376957,0.9138663967611337,0.014476369535062449,0.01593787212531555
Bahraich ,0.014925014306668129,0.7594129554655871,0.00922500503120699,0.014481293902687261
